id,league_name,season,home_team,away_team,home_goals,away_goals
1,Premier League,1993/1994,Arsenal,Coventry,0,3
2,Premier League,1993/1994,Aston Villa,QPR,4,1
3,Premier League,1993/1994,Chelsea,Blackburn,1,2
4,Premier League,1993/1994,Liverpool,Sheffield Weds,2,0
5,Premier League,1993/1994,Man City,Leeds,1,1
6,Premier League,1993/1994,Newcastle,Tottenham,0,1
7,Premier League,1993/1994,Oldham,Ipswich,0,3
8,Premier League,1993/1994,Sheffield United,Swindon,3,1
9,Premier League,1993/1994,Southampton,Everton,0,2
10,Premier League,1993/1994,West Ham,Wimbledon,0,2
11,Premier League,1993/1994,Norwich,Man United,0,2
12,Premier League,1993/1994,Tottenham,Arsenal,0,1
13,Premier League,1993/1994,Everton,Man City,1,0
14,Premier League,1993/1994,Ipswich,Southampton,1,0
15,Premier League,1993/1994,Leeds,West Ham,1,0
16,Premier League,1993/1994,Wimbledon,Chelsea,1,1
17,Premier League,1993/1994,Blackburn,Norwich,2,3
18,Premier League,1993/1994,Coventry,Newcastle,2,1
19,Premier League,1993/1994,Man United,Sheffield United,3,0
20,Premier League,1993/1994,QPR,Liverpool,1,3
21,Premier League,1993/1994,Sheffield Weds,Aston Villa,0,0
22,Premier League,1993/1994,Swindon,Oldham,0,1
23,Premier League,1993/1994,Blackburn,Oldham,1,0
24,Premier League,1993/1994,Coventry,West Ham,1,1
25,Premier League,1993/1994,Everton,Sheffield United,4,2
26,Premier League,1993/1994,Ipswich,Chelsea,1,0
27,Premier League,1993/1994,Leeds,Norwich,0,4
28,Premier League,1993/1994,Man United,Newcastle,1,1
29,Premier League,1993/1994,QPR,Southampton,2,1
30,Premier League,1993/1994,Sheffield Weds,Arsenal,0,1
31,Premier League,1993/1994,Tottenham,Man City,1,0
32,Premier League,1993/1994,Wimbledon,Aston Villa,2,2
33,Premier League,1993/1994,Swindon,Liverpool,0,5
34,Premier League,1993/1994,Aston Villa,Man United,1,2
35,Premier League,1993/1994,Arsenal,Leeds,2,1
36,Premier League,1993/1994,Man City,Blackburn,0,2
37,Premier League,1993/1994,Oldham,Coventry,3,3
38,Premier League,1993/1994,Sheffield United,Wimbledon,2,1
39,Premier League,1993/1994,Chelsea,QPR,2,0
40,Premier League,1993/1994,Liverpool,Tottenham,1,2
41,Premier League,1993/1994,Newcastle,Everton,1,0
42,Premier League,1993/1994,Norwich,Ipswich,1,0
43,Premier League,1993/1994,Southampton,Swindon,5,1
44,Premier League,1993/1994,West Ham,Sheffield Weds,2,0
45,Premier League,1993/1994,Man City,Coventry,1,1
46,Premier League,1993/1994,Arsenal,Everton,2,0
47,Premier League,1993/1994,Aston Villa,Tottenham,1,0
48,Premier League,1993/1994,Chelsea,Sheffield Weds,1,1
49,Premier League,1993/1994,Liverpool,Leeds,2,0
50,Premier League,1993/1994,Norwich,Swindon,0,0
51,Premier League,1993/1994,Oldham,Wimbledon,1,1
52,Premier League,1993/1994,Sheffield United,Ipswich,1,1
53,Premier League,1993/1994,Southampton,Man United,1,3
54,Premier League,1993/1994,West Ham,QPR,0,4
55,Premier League,1993/1994,Newcastle,Blackburn,1,1
56,Premier League,1993/1994,Leeds,Oldham,1,0
57,Premier League,1993/1994,Everton,Aston Villa,0,1
58,Premier League,1993/1994,Ipswich,Newcastle,1,1
59,Premier League,1993/1994,Wimbledon,Southampton,1,0
60,Premier League,1993/1994,Blackburn,Arsenal,1,1
61,Premier League,1993/1994,Coventry,Liverpool,1,0
62,Premier League,1993/1994,Man United,West Ham,3,0
63,Premier League,1993/1994,QPR,Sheffield United,2,1
64,Premier League,1993/1994,Sheffield Weds,Norwich,3,3
65,Premier League,1993/1994,Swindon,Man City,1,3
66,Premier League,1993/1994,Tottenham,Chelsea,1,1
67,Premier League,1993/1994,Arsenal,Ipswich,4,0
68,Premier League,1993/1994,Aston Villa,Coventry,0,0
69,Premier League,1993/1994,Chelsea,Man United,1,0
70,Premier League,1993/1994,Man City,QPR,3,0
71,Premier League,1993/1994,Norwich,Wimbledon,0,1
72,Premier League,1993/1994,Oldham,Everton,0,1
73,Premier League,1993/1994,Sheffield United,Tottenham,2,2
74,Premier League,1993/1994,Southampton,Leeds,0,2
75,Premier League,1993/1994,West Ham,Swindon,0,0
76,Premier League,1993/1994,Liverpool,Blackburn,0,1
77,Premier League,1993/1994,Newcastle,Sheffield Weds,4,2
78,Premier League,1993/1994,Blackburn,West Ham,0,2
79,Premier League,1993/1994,Coventry,Chelsea,1,1
80,Premier League,1993/1994,Everton,Liverpool,2,0
81,Premier League,1993/1994,Ipswich,Aston Villa,1,2
82,Premier League,1993/1994,Leeds,Sheffield United,2,1
83,Premier League,1993/1994,QPR,Norwich,2,2
84,Premier League,1993/1994,Sheffield Weds,Southampton,2,0
85,Premier League,1993/1994,Swindon,Newcastle,2,2
86,Premier League,1993/1994,Tottenham,Oldham,5,0
87,Premier League,1993/1994,Man United,Arsenal,1,0
88,Premier League,1993/1994,Wimbledon,Man City,1,0
89,Premier League,1993/1994,Arsenal,Southampton,1,0
90,Premier League,1993/1994,Blackburn,Sheffield Weds,1,1
91,Premier League,1993/1994,Chelsea,Liverpool,1,0
92,Premier League,1993/1994,Coventry,Leeds,0,2
93,Premier League,1993/1994,Everton,Norwich,1,5
94,Premier League,1993/1994,Man United,Swindon,4,2
95,Premier League,1993/1994,Newcastle,West Ham,2,0
96,Premier League,1993/1994,Oldham,Aston Villa,1,1
97,Premier League,1993/1994,Sheffield United,Man City,0,1
98,Premier League,1993/1994,Ipswich,Tottenham,2,2
99,Premier League,1993/1994,Wimbledon,QPR,1,1
100,Premier League,1993/1994,Aston Villa,Newcastle,0,2
101,Premier League,1993/1994,Leeds,Wimbledon,4,0
102,Premier League,1993/1994,Liverpool,Arsenal,0,0
103,Premier League,1993/1994,Norwich,Coventry,1,0
104,Premier League,1993/1994,QPR,Ipswich,3,0
105,Premier League,1993/1994,Sheffield Weds,Man United,2,3
106,Premier League,1993/1994,Southampton,Sheffield United,3,3
107,Premier League,1993/1994,Swindon,Blackburn,1,3
108,Premier League,1993/1994,West Ham,Chelsea,1,0
109,Premier League,1993/1994,Tottenham,Everton,3,2
110,Premier League,1993/1994,Man City,Oldham,1,1
111,Premier League,1993/1994,Arsenal,Man City,0,0
112,Premier League,1993/1994,Chelsea,Norwich,1,2
113,Premier League,1993/1994,Coventry,Southampton,1,1
114,Premier League,1993/1994,Liverpool,Oldham,2,1
115,Premier League,1993/1994,Man United,Tottenham,2,1
116,Premier League,1993/1994,Newcastle,QPR,1,2
117,Premier League,1993/1994,Sheffield Weds,Wimbledon,2,2
118,Premier League,1993/1994,Swindon,Everton,1,1
119,Premier League,1993/1994,West Ham,Aston Villa,0,0
120,Premier League,1993/1994,Ipswich,Leeds,0,0
121,Premier League,1993/1994,Blackburn,Sheffield United,0,0
122,Premier League,1993/1994,Aston Villa,Chelsea,1,0
123,Premier League,1993/1994,Everton,Man United,0,1
124,Premier League,1993/1994,Leeds,Blackburn,3,3
125,Premier League,1993/1994,Man City,Liverpool,1,1
126,Premier League,1993/1994,Norwich,West Ham,0,0
127,Premier League,1993/1994,Oldham,Arsenal,0,0
128,Premier League,1993/1994,QPR,Coventry,5,1
129,Premier League,1993/1994,Sheffield United,Sheffield Weds,1,1
130,Premier League,1993/1994,Tottenham,Swindon,1,1
131,Premier League,1993/1994,Southampton,Newcastle,2,1
132,Premier League,1993/1994,Wimbledon,Ipswich,0,2
133,Premier League,1993/1994,Arsenal,Norwich,0,0
134,Premier League,1993/1994,Blackburn,Tottenham,1,0
135,Premier League,1993/1994,Chelsea,Oldham,0,1
136,Premier League,1993/1994,Ipswich,Everton,0,2
137,Premier League,1993/1994,Liverpool,Southampton,4,2
138,Premier League,1993/1994,Man United,QPR,2,1
139,Premier League,1993/1994,Newcastle,Wimbledon,4,0
140,Premier League,1993/1994,Sheffield Weds,Leeds,3,3
141,Premier League,1993/1994,Swindon,Aston Villa,1,2
142,Premier League,1993/1994,Coventry,Sheffield United,0,0
143,Premier League,1993/1994,West Ham,Man City,3,1
144,Premier League,1993/1994,Arsenal,Aston Villa,1,2
145,Premier League,1993/1994,Coventry,Everton,2,1
146,Premier League,1993/1994,Ipswich,Sheffield Weds,1,4
147,Premier League,1993/1994,Leeds,Chelsea,4,1
148,Premier League,1993/1994,Liverpool,West Ham,2,0
149,Premier League,1993/1994,QPR,Blackburn,1,0
150,Premier League,1993/1994,Sheffield United,Norwich,1,2
151,Premier League,1993/1994,Southampton,Tottenham,1,0
152,Premier League,1993/1994,Wimbledon,Swindon,3,0
153,Premier League,1993/1994,Man City,Man United,2,3
154,Premier League,1993/1994,Oldham,Newcastle,1,3
155,Premier League,1993/1994,Aston Villa,Sheffield United,1,0
156,Premier League,1993/1994,Blackburn,Southampton,2,0
157,Premier League,1993/1994,Chelsea,Arsenal,0,2
158,Premier League,1993/1994,Everton,QPR,0,3
159,Premier League,1993/1994,Man United,Wimbledon,3,1
160,Premier League,1993/1994,Norwich,Man City,1,1
161,Premier League,1993/1994,Sheffield Weds,Coventry,0,0
162,Premier League,1993/1994,Swindon,Ipswich,2,2
163,Premier League,1993/1994,Tottenham,Leeds,1,1
164,Premier League,1993/1994,West Ham,Oldham,2,0
165,Premier League,1993/1994,Newcastle,Liverpool,3,0
166,Premier League,1993/1994,Chelsea,Man City,0,0
167,Premier League,1993/1994,Blackburn,Coventry,2,1
168,Premier League,1993/1994,Everton,Leeds,1,1
169,Premier League,1993/1994,Aston Villa,Southampton,0,2
170,Premier League,1993/1994,Man United,Ipswich,0,0
171,Premier League,1993/1994,Newcastle,Sheffield United,4,0
172,Premier League,1993/1994,Sheffield Weds,Oldham,3,0
173,Premier League,1993/1994,Swindon,QPR,1,0
174,Premier League,1993/1994,Tottenham,Wimbledon,1,1
175,Premier League,1993/1994,West Ham,Arsenal,0,0
176,Premier League,1993/1994,Arsenal,Newcastle,2,1
177,Premier League,1993/1994,Coventry,Man United,0,1
178,Premier League,1993/1994,Ipswich,Blackburn,1,0
179,Premier League,1993/1994,Leeds,Swindon,3,0
180,Premier League,1993/1994,Man City,Sheffield Weds,1,3
181,Premier League,1993/1994,Oldham,Norwich,2,1
182,Premier League,1993/1994,QPR,Tottenham,1,1
183,Premier League,1993/1994,Sheffield United,Chelsea,1,0
184,Premier League,1993/1994,Wimbledon,Everton,1,1
185,Premier League,1993/1994,Liverpool,Aston Villa,2,1
186,Premier League,1993/1994,Southampton,West Ham,0,2
187,Premier League,1993/1994,Coventry,Arsenal,1,0
188,Premier League,1993/1994,Everton,Southampton,1,0
189,Premier League,1993/1994,Ipswich,Oldham,0,0
190,Premier League,1993/1994,Leeds,Man City,3,2
191,Premier League,1993/1994,Man United,Norwich,2,2
192,Premier League,1993/1994,QPR,Aston Villa,2,2
193,Premier League,1993/1994,Sheffield Weds,Liverpool,3,1
194,Premier League,1993/1994,Swindon,Sheffield United,0,0
195,Premier League,1993/1994,Tottenham,Newcastle,1,2
196,Premier League,1993/1994,Wimbledon,West Ham,1,2
197,Premier League,1993/1994,Blackburn,Chelsea,2,0
198,Premier League,1993/1994,Arsenal,Tottenham,1,1
199,Premier League,1993/1994,Oldham,Swindon,2,1
200,Premier League,1993/1994,Sheffield United,Man United,0,3
201,Premier League,1993/1994,Aston Villa,Sheffield Weds,2,2
202,Premier League,1993/1994,Liverpool,QPR,3,2
203,Premier League,1993/1994,Man City,Everton,1,0
204,Premier League,1993/1994,Southampton,Ipswich,0,1
205,Premier League,1993/1994,West Ham,Leeds,0,1
206,Premier League,1993/1994,Aston Villa,Wimbledon,0,1
207,Premier League,1993/1994,Chelsea,Ipswich,1,1
208,Premier League,1993/1994,Liverpool,Swindon,2,2
209,Premier League,1993/1994,Man City,Tottenham,0,2
210,Premier League,1993/1994,Newcastle,Man United,1,1
211,Premier League,1993/1994,Oldham,Blackburn,1,2
212,Premier League,1993/1994,Sheffield United,Everton,0,0
213,Premier League,1993/1994,Southampton,QPR,0,1
214,Premier League,1993/1994,West Ham,Coventry,3,2
215,Premier League,1993/1994,Arsenal,Sheffield Weds,1,0
216,Premier League,1993/1994,Norwich,Leeds,2,1
217,Premier League,1993/1994,Blackburn,Man City,2,0
218,Premier League,1993/1994,Coventry,Oldham,1,1
219,Premier League,1993/1994,Everton,Newcastle,0,2
220,Premier League,1993/1994,Ipswich,Norwich,2,1
221,Premier League,1993/1994,Leeds,Arsenal,2,1
222,Premier League,1993/1994,Sheffield Weds,West Ham,5,0
223,Premier League,1993/1994,Swindon,Southampton,2,1
224,Premier League,1993/1994,Tottenham,Liverpool,3,3
225,Premier League,1993/1994,Wimbledon,Sheffield United,2,0
226,Premier League,1993/1994,Man United,Aston Villa,3,1
227,Premier League,1993/1994,Newcastle,Leeds,1,1
228,Premier League,1993/1994,Man United,Blackburn,1,1
229,Premier League,1993/1994,Sheffield United,Liverpool,0,0
230,Premier League,1993/1994,Wimbledon,Coventry,1,2
231,Premier League,1993/1994,Everton,Sheffield Weds,0,2
232,Premier League,1993/1994,Ipswich,West Ham,1,1
233,Premier League,1993/1994,QPR,Oldham,2,0
234,Premier League,1993/1994,Southampton,Chelsea,3,1
235,Premier League,1993/1994,Swindon,Arsenal,0,4
236,Premier League,1993/1994,Tottenham,Norwich,1,3
237,Premier League,1993/1994,Chelsea,Newcastle,1,0
238,Premier League,1993/1994,Liverpool,Wimbledon,1,1
239,Premier League,1993/1994,Man City,Southampton,1,1
240,Premier League,1993/1994,West Ham,Tottenham,1,3
241,Premier League,1993/1994,Arsenal,Sheffield United,3,0
242,Premier League,1993/1994,Blackburn,Everton,2,0
243,Premier League,1993/1994,Leeds,QPR,1,1
244,Premier League,1993/1994,Norwich,Aston Villa,1,2
245,Premier League,1993/1994,Oldham,Man United,2,5
246,Premier League,1993/1994,Sheffield Weds,Swindon,3,3
247,Premier League,1993/1994,Aston Villa,Blackburn,0,1
248,Premier League,1993/1994,Everton,West Ham,0,1
249,Premier League,1993/1994,Ipswich,Liverpool,1,2
250,Premier League,1993/1994,Man United,Leeds,0,0
251,Premier League,1993/1994,Newcastle,Man City,2,0
252,Premier League,1993/1994,QPR,Sheffield Weds,1,2
253,Premier League,1993/1994,Sheffield United,Oldham,2,1
254,Premier League,1993/1994,Southampton,Norwich,0,1
255,Premier League,1993/1994,Swindon,Chelsea,1,3
256,Premier League,1993/1994,Tottenham,Coventry,1,2
257,Premier League,1993/1994,Wimbledon,Arsenal,0,3
258,Premier League,1993/1994,Arsenal,QPR,0,0
259,Premier League,1993/1994,Chelsea,Everton,4,2
260,Premier League,1993/1994,Coventry,Swindon,1,1
261,Premier League,1993/1994,Sheffield Weds,Tottenham,1,0
262,Premier League,1993/1994,West Ham,Sheffield United,0,0
263,Premier League,1993/1994,Liverpool,Man United,3,3
264,Premier League,1993/1994,Norwich,Newcastle,1,2
265,Premier League,1993/1994,Aston Villa,West Ham,3,1
266,Premier League,1993/1994,Everton,Swindon,6,2
267,Premier League,1993/1994,Leeds,Ipswich,0,0
268,Premier League,1993/1994,Man City,Arsenal,0,0
269,Premier League,1993/1994,Norwich,Chelsea,1,1
270,Premier League,1993/1994,Oldham,Liverpool,0,3
271,Premier League,1993/1994,Sheffield United,Blackburn,1,2
272,Premier League,1993/1994,Southampton,Coventry,1,0
273,Premier League,1993/1994,Tottenham,Man United,0,1
274,Premier League,1993/1994,Wimbledon,Sheffield Weds,2,1
275,Premier League,1993/1994,QPR,Newcastle,1,2
276,Premier League,1993/1994,Arsenal,Oldham,1,1
277,Premier League,1993/1994,Chelsea,Aston Villa,1,1
278,Premier League,1993/1994,Coventry,QPR,0,1
279,Premier League,1993/1994,Ipswich,Wimbledon,0,0
280,Premier League,1993/1994,Liverpool,Man City,2,1
281,Premier League,1993/1994,Man United,Everton,1,0
282,Premier League,1993/1994,Newcastle,Southampton,1,2
283,Premier League,1993/1994,Sheffield Weds,Sheffield United,3,1
284,Premier League,1993/1994,Swindon,Tottenham,2,1
285,Premier League,1993/1994,Blackburn,Leeds,2,1
286,Premier League,1993/1994,West Ham,Norwich,3,3
287,Premier League,1993/1994,Coventry,Ipswich,1,0
288,Premier League,1993/1994,Blackburn,Wimbledon,3,0
289,Premier League,1993/1994,Everton,Chelsea,4,2
290,Premier League,1993/1994,Man City,Ipswich,2,1
291,Premier League,1993/1994,Norwich,Liverpool,2,2
292,Premier League,1993/1994,Oldham,Southampton,2,1
293,Premier League,1993/1994,QPR,Man United,2,3
294,Premier League,1993/1994,Swindon,Coventry,3,1
295,Premier League,1993/1994,Tottenham,Sheffield Weds,1,3
296,Premier League,1993/1994,Aston Villa,Leeds,1,0
297,Premier League,1993/1994,Aston Villa,Swindon,5,0
298,Premier League,1993/1994,Everton,Ipswich,0,0
299,Premier League,1993/1994,Man City,West Ham,0,0
300,Premier League,1993/1994,Oldham,Chelsea,2,1
301,Premier League,1993/1994,Sheffield United,Coventry,0,0
302,Premier League,1993/1994,Tottenham,Blackburn,0,2
303,Premier League,1993/1994,Wimbledon,Newcastle,4,2
304,Premier League,1993/1994,Norwich,Arsenal,1,1
305,Premier League,1993/1994,Southampton,Liverpool,4,2
306,Premier League,1993/1994,Blackburn,Newcastle,1,0
307,Premier League,1993/1994,Coventry,Man City,4,0
308,Premier League,1993/1994,Everton,Arsenal,1,1
309,Premier League,1993/1994,Leeds,Liverpool,2,0
310,Premier League,1993/1994,Swindon,Norwich,3,3
311,Premier League,1993/1994,Aston Villa,Man City,0,0
312,Premier League,1993/1994,Norwich,Blackburn,2,2
313,Premier League,1993/1994,Newcastle,Coventry,4,0
314,Premier League,1993/1994,Arsenal,Blackburn,1,0
315,Premier League,1993/1994,Ipswich,Sheffield United,3,2
316,Premier League,1993/1994,Liverpool,Coventry,1,0
317,Premier League,1993/1994,Man City,Swindon,2,1
318,Premier League,1993/1994,Norwich,Sheffield Weds,1,1
319,Premier League,1993/1994,Southampton,Wimbledon,1,0
320,Premier League,1993/1994,West Ham,Man United,2,2
321,Premier League,1993/1994,Chelsea,Tottenham,4,3
322,Premier League,1993/1994,Oldham,Leeds,1,1
323,Premier League,1993/1994,Tottenham,Aston Villa,1,1
324,Premier League,1993/1994,Blackburn,Liverpool,2,0
325,Premier League,1993/1994,Everton,Oldham,2,1
326,Premier League,1993/1994,Ipswich,Arsenal,1,5
327,Premier League,1993/1994,Leeds,Southampton,0,0
328,Premier League,1993/1994,Man United,Chelsea,0,1
329,Premier League,1993/1994,QPR,Man City,1,1
330,Premier League,1993/1994,Sheffield Weds,Newcastle,0,1
331,Premier League,1993/1994,Swindon,West Ham,1,1
332,Premier League,1993/1994,Tottenham,Sheffield United,2,2
333,Premier League,1993/1994,Wimbledon,Norwich,3,1
334,Premier League,1993/1994,Coventry,Aston Villa,0,1
335,Premier League,1993/1994,Aston Villa,Ipswich,0,1
336,Premier League,1993/1994,Man City,Wimbledon,0,1
337,Premier League,1993/1994,Newcastle,Swindon,7,1
338,Premier League,1993/1994,Norwich,QPR,3,4
339,Premier League,1993/1994,Southampton,Sheffield Weds,1,1
340,Premier League,1993/1994,Liverpool,Everton,2,1
341,Premier League,1993/1994,Sheffield United,Leeds,2,2
342,Premier League,1993/1994,Chelsea,Wimbledon,2,0
343,Premier League,1993/1994,Leeds,Aston Villa,2,0
344,Premier League,1993/1994,Man United,Sheffield Weds,5,0
345,Premier League,1993/1994,Sheffield United,QPR,1,1
346,Premier League,1993/1994,Aston Villa,Oldham,1,2
347,Premier League,1993/1994,Leeds,Coventry,1,0
348,Premier League,1993/1994,Liverpool,Chelsea,2,1
349,Premier League,1993/1994,Man City,Sheffield United,0,0
350,Premier League,1993/1994,QPR,Wimbledon,1,0
351,Premier League,1993/1994,Southampton,Arsenal,0,4
352,Premier League,1993/1994,Swindon,Man United,2,2
353,Premier League,1993/1994,Tottenham,Ipswich,1,1
354,Premier League,1993/1994,West Ham,Newcastle,2,4
355,Premier League,1993/1994,Sheffield Weds,Blackburn,1,2
356,Premier League,1993/1994,Norwich,Everton,3,0
357,Premier League,1993/1994,Arsenal,Man United,2,2
358,Premier League,1993/1994,Newcastle,Ipswich,2,0
359,Premier League,1993/1994,Arsenal,Liverpool,1,0
360,Premier League,1993/1994,Blackburn,Swindon,3,1
361,Premier League,1993/1994,Chelsea,West Ham,2,0
362,Premier League,1993/1994,Coventry,Norwich,2,1
363,Premier League,1993/1994,Everton,Tottenham,0,1
364,Premier League,1993/1994,Ipswich,QPR,1,3
365,Premier League,1993/1994,Oldham,Man City,0,0
366,Premier League,1993/1994,Sheffield United,Southampton,0,0
367,Premier League,1993/1994,Wimbledon,Leeds,1,0
368,Premier League,1993/1994,Sheffield United,West Ham,3,2
369,Premier League,1993/1994,Ipswich,Man City,2,2
370,Premier League,1993/1994,Newcastle,Norwich,3,0
371,Premier League,1993/1994,Wimbledon,Blackburn,4,1
372,Premier League,1993/1994,Aston Villa,Everton,0,0
373,Premier League,1993/1994,Man United,Liverpool,1,0
374,Premier League,1993/1994,Sheffield Weds,Chelsea,3,1
375,Premier League,1993/1994,Southampton,Oldham,1,3
376,Premier League,1993/1994,Leeds,Newcastle,1,1
377,Premier League,1993/1994,Arsenal,Swindon,1,1
378,Premier League,1993/1994,Blackburn,Man United,2,0
379,Premier League,1993/1994,Chelsea,Southampton,2,0
380,Premier League,1993/1994,Coventry,Wimbledon,1,2
381,Premier League,1993/1994,Liverpool,Sheffield United,1,2
382,Premier League,1993/1994,Man City,Aston Villa,3,0
383,Premier League,1993/1994,Norwich,Tottenham,1,2
384,Premier League,1993/1994,Oldham,QPR,4,1
385,Premier League,1993/1994,Sheffield Weds,Everton,5,1
386,Premier League,1993/1994,West Ham,Ipswich,2,1
387,Premier League,1993/1994,Aston Villa,Norwich,0,0
388,Premier League,1993/1994,Everton,Blackburn,0,3
389,Premier League,1993/1994,Ipswich,Coventry,0,2
390,Premier League,1993/1994,Man United,Oldham,3,2
391,Premier League,1993/1994,Newcastle,Chelsea,0,0
392,Premier League,1993/1994,QPR,Leeds,0,4
393,Premier League,1993/1994,Sheffield United,Arsenal,1,1
394,Premier League,1993/1994,Southampton,Man City,0,1
395,Premier League,1993/1994,Swindon,Sheffield Weds,0,1
396,Premier League,1993/1994,Tottenham,West Ham,1,4
397,Premier League,1993/1994,Wimbledon,Liverpool,1,1
398,Premier League,1993/1994,Coventry,Tottenham,1,0
399,Premier League,1993/1994,Liverpool,Ipswich,1,0
400,Premier League,1993/1994,Man City,Newcastle,2,1
401,Premier League,1993/1994,Norwich,Southampton,4,5
402,Premier League,1993/1994,Sheffield Weds,QPR,3,1
403,Premier League,1993/1994,West Ham,Everton,0,1
404,Premier League,1993/1994,Blackburn,Aston Villa,1,0
405,Premier League,1993/1994,QPR,Chelsea,1,1
406,Premier League,1993/1994,Arsenal,Chelsea,1,0
407,Premier League,1993/1994,Coventry,Sheffield Weds,1,1
408,Premier League,1993/1994,Ipswich,Swindon,1,1
409,Premier League,1993/1994,Liverpool,Newcastle,0,2
410,Premier League,1993/1994,Man City,Norwich,1,1
411,Premier League,1993/1994,Oldham,West Ham,1,2
412,Premier League,1993/1994,QPR,Everton,2,1
413,Premier League,1993/1994,Sheffield United,Aston Villa,1,2
414,Premier League,1993/1994,Southampton,Blackburn,3,1
415,Premier League,1993/1994,Wimbledon,Man United,1,0
416,Premier League,1993/1994,Leeds,Tottenham,2,0
417,Premier League,1993/1994,Arsenal,Wimbledon,1,1
418,Premier League,1993/1994,Aston Villa,Arsenal,1,2
419,Premier League,1993/1994,Chelsea,Leeds,1,1
420,Premier League,1993/1994,Everton,Coventry,0,0
421,Premier League,1993/1994,Man United,Man City,2,0
422,Premier League,1993/1994,Newcastle,Oldham,3,2
423,Premier League,1993/1994,Norwich,Sheffield United,0,1
424,Premier League,1993/1994,Sheffield Weds,Ipswich,5,0
425,Premier League,1993/1994,Swindon,Wimbledon,2,4
426,Premier League,1993/1994,Tottenham,Southampton,3,0
427,Premier League,1993/1994,West Ham,Liverpool,1,2
428,Premier League,1993/1994,Blackburn,QPR,1,1
429,Premier League,1993/1994,Wimbledon,Oldham,3,0
430,Premier League,1993/1994,Chelsea,Swindon,2,0
431,Premier League,1993/1994,Leeds,Man United,0,2
432,Premier League,1993/1994,Newcastle,Aston Villa,5,1
433,Premier League,1993/1994,QPR,Arsenal,1,1
434,Premier League,1993/1994,West Ham,Blackburn,1,2
435,Premier League,1993/1994,Arsenal,West Ham,0,2
436,Premier League,1993/1994,Leeds,Everton,3,0
437,Premier League,1993/1994,Liverpool,Norwich,0,1
438,Premier League,1993/1994,Man City,Chelsea,2,2
439,Premier League,1993/1994,Oldham,Sheffield Weds,0,0
440,Premier League,1993/1994,QPR,Swindon,1,3
441,Premier League,1993/1994,Sheffield United,Newcastle,2,0
442,Premier League,1993/1994,Southampton,Aston Villa,4,1
443,Premier League,1993/1994,Wimbledon,Tottenham,2,1
444,Premier League,1993/1994,Ipswich,Man United,1,2
445,Premier League,1993/1994,Coventry,Blackburn,2,1
446,Premier League,1993/1994,Leeds,Sheffield Weds,2,2
447,Premier League,1993/1994,Oldham,Sheffield United,1,1
448,Premier League,1993/1994,QPR,West Ham,0,0
449,Premier League,1993/1994,Chelsea,Coventry,1,2
450,Premier League,1993/1994,Man United,Southampton,2,0
451,Premier League,1993/1994,Oldham,Tottenham,0,2
452,Premier League,1993/1994,Aston Villa,Liverpool,2,1
453,Premier League,1993/1994,Blackburn,Ipswich,0,0
454,Premier League,1993/1994,Chelsea,Sheffield United,3,2
455,Premier League,1993/1994,Everton,Wimbledon,3,2
456,Premier League,1993/1994,Newcastle,Arsenal,2,0
457,Premier League,1993/1994,Norwich,Oldham,1,1
458,Premier League,1993/1994,Sheffield Weds,Man City,1,1
459,Premier League,1993/1994,Swindon,Leeds,0,5
460,Premier League,1993/1994,Tottenham,QPR,1,2
461,Premier League,1993/1994,West Ham,Southampton,3,3
462,Premier League,1993/1994,Man United,Coventry,0,0
463,Premier League,1994/1995,Arsenal,Man City,3,0
464,Premier League,1994/1995,Chelsea,Norwich,2,0
465,Premier League,1994/1995,Coventry,Wimbledon,1,1
466,Premier League,1994/1995,Crystal Palace,Liverpool,1,6
467,Premier League,1994/1995,Everton,Aston Villa,2,2
468,Premier League,1994/1995,Ipswich,Nott'm Forest,0,1
469,Premier League,1994/1995,Man United,QPR,2,0
470,Premier League,1994/1995,Sheffield Weds,Tottenham,3,4
471,Premier League,1994/1995,Southampton,Blackburn,1,1
472,Premier League,1994/1995,West Ham,Leeds,0,0
473,Premier League,1994/1995,Leicester,Newcastle,1,3
474,Premier League,1994/1995,Nott'm Forest,Man United,1,1
475,Premier League,1994/1995,Blackburn,Leicester,3,0
476,Premier League,1994/1995,Leeds,Arsenal,1,0
477,Premier League,1994/1995,Wimbledon,Ipswich,1,1
478,Premier League,1994/1995,Aston Villa,Southampton,1,1
479,Premier League,1994/1995,Man City,West Ham,3,0
480,Premier League,1994/1995,Newcastle,Coventry,4,0
481,Premier League,1994/1995,Norwich,Crystal Palace,0,0
482,Premier League,1994/1995,QPR,Sheffield Weds,3,2
483,Premier League,1994/1995,Tottenham,Everton,2,1
484,Premier League,1994/1995,Aston Villa,Crystal Palace,1,1
485,Premier League,1994/1995,Blackburn,Coventry,4,0
486,Premier League,1994/1995,Leeds,Chelsea,2,3
487,Premier League,1994/1995,Man City,Everton,4,0
488,Premier League,1994/1995,Newcastle,Southampton,5,1
489,Premier League,1994/1995,Norwich,West Ham,1,0
490,Premier League,1994/1995,Nott'm Forest,Leicester,1,0
491,Premier League,1994/1995,QPR,Ipswich,1,2
492,Premier League,1994/1995,Tottenham,Man United,0,1
493,Premier League,1994/1995,Wimbledon,Sheffield Weds,0,1
494,Premier League,1994/1995,Liverpool,Arsenal,3,0
495,Premier League,1994/1995,Coventry,Aston Villa,0,1
